inicial_x,inicial_y,passos
24,165,7406
40,74,3263
136,194,1246
77,61,11575
20,88,8146
97,193,4421
112,56,874
227,165,6064
143,56,1670
102,193,2170
149,57,2019
163,191,6460
203,179,25328
147,193,4285
96,192,3112
1,127,6375
53,68,9307
187,185,3553
10,151,3319
163,191,4333
180,63,2046
85,59,737
55,182,5334
82,190,7756
118,194,18047
94,58,450
200,180,20822
88,191,859
28,82,7676
81,190,5095
221,81,13094
80,60,936
162,59,4204
69,63,1900
181,187,13665
137,56,4401
18,161,1986
140,194,1205
153,193,723
105,56,4677
157,58,1242
210,74,8948
33,79,13304
97,57,1723
162,191,28330
24,84,5373
221,81,2463
69,63,2443
73,188,3798
118,56,974
111,56,622
166,191,14217
220,169,1853
111,56,1071
90,58,931
148,57,976
185,64,8213
179,62,4304
212,76,7011
60,66,2307
125,56,805
159,58,2333
215,77,7279
183,64,1033
226,165,4139
133,56,5576
135,194,922
170,60,5196
166,191,5533
21,87,5366
56,183,3242
216,172,6383
109,194,547
106,56,8864
167,60,3562
163,191,276
74,62,1146
89,191,770
225,166,4032
125,194,1891
103,193,1403
52,181,3659
153,57,7286
143,56,14691
135,194,4603
28,168,4655
178,188,2073
198,69,20681
176,188,7554
56,67,4588
122,194,464
92,192,7920
85,59,1782
128,194,683
207,73,10664
45,178,5607
144,194,722
198,181,1980
152,193,5593
51,181,4773
181,63,6508
42,177,7018
112,194,14931
204,179,8374
137,56,16421
55,182,3750
133,194,5648
169,60,6138
13,155,17434
50,70,4095
166,191,1858
239,152,4024
141,194,1275
72,188,4937
59,66,5306
77,189,804
141,194,9614
195,182,5222
236,157,8457
23,85,9636
178,62,9696
132,56,2541
89,59,1461
60,66,8389
134,194,2492
176,188,887
127,56,1327
137,56,637
84,191,6043
167,190,7687
27,168,5795
73,188,1433
202,179,3876
129,56,680
125,194,1504
221,81,6229
198,181,13930
199,69,4797
198,69,790
59,184,2335
116,194,504
133,194,287
78,61,3421
213,76,2986
231,161,1978
69,187,4019
