i,j,energy
225,113,22179
144,115,21740
32,143,3453
210,110,30998
79,141,20176
139,121,11
22,134,19682
35,143,1068
157,111,61143
68,139,2728
20,138,1090
47,141,67336
93,133,3642
21,139,30937
176,105,1188
84,141,29173
227,116,28645
64,139,664
202,105,10287
189,109,9627
31,136,11570
135,118,15346
193,102,22785
108,133,7444
135,123,24458
21,140,2017
173,109,436
163,113,9809
195,103,17854
91,137,29987
205,111,41388
55,148,10025
126,127,78754
121,126,17772
89,134,24806
106,137,23787
205,104,44419
186,110,2
50,145,14984
113,125,40035
19,135,2328
243,121,669
15,129,4690
158,110,51608
118,124,2847
180,102,829
41,140,1
107,134,7684
233,116,64
118,129,5
244,123,45706
219,112,6630
16,129,55504
210,106,84939
203,99,3872
55,149,20
164,109,1813
202,99,37987
3,129,9863
3,126,62565
31,135,541
14,128,38660
69,141,11172
172,109,172250
202,98,9849
159,110,1072
83,137,6699
178,111,31586
193,104,32590
49,141,7340
96,132,354
50,142,58212
75,137,18247
18,138,14442
115,130,48427
93,138,61330
55,150,196317
63,143,24837
104,139,8253
127,121,28594
43,143,3601
245,128,2592
97,137,9650
158,114,12597
91,134,3442
135,117,22337
171,109,412
113,131,6214
108,128,38061
72,141,40020
205,112,1457
172,111,13982
137,122,402
124,121,100578
181,102,22876
42,138,60
195,108,14674
68,142,7655
79,142,17666
129,127,9093
136,116,72434
133,118,3949
236,121,4618
180,101,4082
173,115,40910
14,127,60564
33,144,4603
104,140,819
106,138,16928
195,109,108457
198,108,50314
47,149,16049
245,129,9911
90,138,46
69,142,10806
85,136,71247
1,123,1712
62,143,5640
238,121,39457
15,127,345
95,132,1579
54,150,4247
113,124,22728
186,111,14976
226,114,16261
1,122,513
226,108,20801
212,110,19589
93,132,6069
147,117,492
156,118,37400
115,126,3405
206,104,36924
5,126,25575
132,118,1109
179,110,31650
115,125,340
112,124,51950
55,140,10689
66,139,386
212,111,10495
24,136,8677
42,137,37486
220,108,2001
32,135,5362
140,117,201
211,105,18
110,132,10339
34,144,103163
174,115,150
238,116,7709
157,110,51054
167,109,633
236,122,33761
115,131,20351
85,141,2986
35,137,25949
86,136,19860
191,111,36076
53,150,1171
40,146,25731
160,116,59986
46,150,5016
142,115,2261
157,109,41673
210,105,5330
69,143,1472
133,126,4091
195,102,3551
247,130,18914
197,108,2874
222,113,69
149,113,9311
166,109,3572
95,137,1527
157,108,14742
1,127,341
40,147,18298
149,112,20880
106,136,89
38,145,32229
182,102,81177
93,139,14536
203,98,32865
134,117,764
203,108,1
104,130,21870
201,98,31690
235,122,16206
100,136,33210
212,112,22213
107,136,9444
129,121,24572
191,104,1236
13,129,587
69,144,3730
206,110,7442
204,112,17809
130,127,51253
75,143,2514
60,140,43550
103,140,6981
23,138,1
4,130,2045
55,151,22043
158,116,14837
139,122,22300
20,140,1590
108,134,43491
81,140,15584
124,120,101136
11,135,9791
118,123,52970
170,108,18150
130,121,939
213,110,47668
55,152,859
229,110,4971
33,145,27601
139,123,10194
12,129,2900
21,141,33449
64,143,32711
81,141,66
2,125,20054
3,123,48347
47,140,22
73,143,6087
246,128,4207
11,136,15599
179,101,55
134,116,6036
204,101,4667
17,129,12096
192,110,7009
72,142,21892
82,137,34874
213,111,47526
37,145,75229
159,115,2475
154,117,29964
45,150,26375
235,123,33910
178,101,3183
112,125,14938
248,131,27072
169,108,60879
192,111,3309
3,122,587
60,139,52273
51,147,1398
19,140,46477
107,138,7053
212,105,28139
246,129,6614
186,112,73
125,120,1
60,138,28777
243,127,7239
131,127,15301
68,138,1183
61,139,359
80,142,22287
191,102,26832
56,150,3374
211,112,37209
123,120,14548
222,109,25884
164,108,11264
130,128,28173
156,119,242
89,138,3005
55,153,3232
156,108,87711
111,130,7987
245,121,18865
178,100,6984
39,140,46544
134,115,4091
4,122,36544
105,139,7908
76,137,624
54,152,27794
17,139,17299
4,121,78348
79,143,78224
74,144,17597
248,132,10453
132,127,599
79,144,6250
39,147,13954
43,137,229
19,141,4619
229,109,2271
202,97,20639
90,133,27917
16,139,9818
200,98,7861
112,123,18045
42,136,1147
153,111,72900
14,137,16697
0,122,1840
30,140,12043
132,117,1955
201,109,24420
205,102,10820
193,101,25486
37,139,62
247,131,23001
31,134,17524
42,135,2190
45,148,5841
174,116,24607
165,108,832
16,127,27714
139,124,25
193,100,9340
211,113,239
188,108,1684
56,153,14797
204,99,50347
78,144,61190
82,141,46115
130,129,7480
202,104,17666
228,109,10613
69,145,4979
114,125,10006
163,114,20099
108,138,7788
4,120,4518
4,119,99702
39,139,10773
57,153,3821
236,115,18506
57,154,11591
154,111,12285
0,121,2214
244,129,2417
107,139,22383
172,114,496
247,122,20866
242,127,23572
192,112,9726
229,108,9681
229,107,89704
210,112,6793
14,138,21897
185,104,16215
3,120,58537
114,124,7914
84,136,14859
81,142,3169
157,118,34838
35,144,13564
41,135,7268
103,141,4592
99,137,134133
218,112,39356
81,143,16377
226,107,10372
84,135,2225
83,141,513
57,155,401
235,121,37570
206,102,73910
192,100,773
5,125,11076
115,124,12831
27,137,84582
174,105,62833
111,129,29
116,131,15094
230,108,70614
179,111,26353
166,108,16839
207,104,108687
203,97,1362
248,133,117266
144,119,17641
102,141,5230
40,135,95238
68,137,18304
105,140,36293
243,128,744
178,99,6302
28,141,400
46,146,9424
212,113,30061
83,136,625
44,150,862
150,112,30792
212,104,228
204,98,7431
203,96,750
53,152,28439
106,139,7240
82,142,10802
231,115,4691
130,120,9
4,118,5480
12,136,1562
178,98,14417
30,136,19000
66,138,834
60,137,10552
107,140,84566
94,132,2555
177,98,15425
137,116,5374
215,107,2118
172,115,34105
127,120,28160
74,137,101
53,141,4574
177,99,3287
36,145,18267
5,119,16437
247,133,11762
12,137,2528
103,139,6996
104,141,21434
229,106,1763
124,127,7865
234,123,10599
160,117,1928
192,99,34325
154,118,14858
98,132,19041
158,109,22456
69,137,18242
104,142,5166
156,109,34197
210,104,4185
212,114,1340
5,118,3632
12,138,1121
155,108,9066
32,134,44784
123,119,317
35,145,19697
98,131,61665
244,130,15035
112,122,425
12,139,16691
18,141,39
43,150,28411
103,142,4308
73,144,11535
153,118,32279
88,134,17806
73,145,48928
235,124,2729
178,102,28305
158,117,73107
173,105,109767
116,132,60
173,116,6354
3,118,10
15,126,1769
122,119,1847
132,128,12112
134,126,22967
238,122,12615
207,102,3892
231,112,2
52,152,647
58,155,11476
39,135,45478
226,115,120040
215,106,29010
6,118,7883
4,117,3158
112,121,44708
82,136,5121
179,98,37114
73,146,8790
176,98,13780
46,151,17026
59,137,2966
201,110,13032
18,142,2501
53,153,36210
75,144,22504
79,145,3960
22,141,11636
56,154,12501
79,146,117509
