inicial_x,inicial_y,passos
20,191,6201
50,224,3991
69,14,5598
217,41,2783
7,86,4534
213,38,11907
37,213,5373
14,68,6602
13,72,5753
52,225,3964
225,199,3376
20,58,43529
2,145,9541
208,33,7662
32,207,4124
77,10,2690
237,179,23040
234,185,5787
42,32,4784
204,29,5125
50,26,3490
232,188,6027
150,3,3814
42,32,5099
174,239,21271
230,191,4358
14,181,11705
238,178,4372
232,189,11647
193,229,5290
27,49,6470
162,6,3401
202,223,5650
47,222,3095
1,116,4616
48,223,6583
196,227,16314
21,57,7673
203,222,9432
230,59,15714
210,216,10644
34,209,3276
16,64,12047
221,204,9567
206,31,4403
28,203,14805
232,188,9373
202,28,5064
195,227,2533
206,219,2043
23,196,3276
216,209,2248
198,24,5814
195,228,3932
207,219,12152
32,43,2886
221,204,8206
30,45,3731
152,4,2809
152,247,4861
58,229,5536
1,127,10746
230,58,3937
226,197,10209
76,239,5462
23,196,4825
16,66,2412
183,235,2324
231,190,16609
230,192,5959
36,211,16991
224,50,5162
212,214,14101
162,6,3280
202,27,5026
12,72,2510
48,27,4448
25,198,4112
74,12,3059
230,59,5849
180,14,19776
20,58,13935
72,12,2126
189,232,1923
51,25,5158
218,43,6121
34,209,5973
131,1,1621
196,227,2577
20,58,4679
213,37,10940
219,206,14780
213,212,7234
145,2,5669
35,39,6488
176,12,4927
188,18,1886
8,84,4702
45,220,8175
193,21,9390
247,148,3821
30,205,7003
43,219,7005
235,182,11490
221,203,3974
54,23,5453
41,217,5963
249,136,13334
233,187,2832
28,47,11967
165,7,6590
162,244,9839
233,187,10430
235,68,11875
213,38,4228
42,33,13379
22,56,14226
16,66,6947
196,23,3159
26,200,2815
155,4,7740
30,205,3129
235,182,6806
223,49,3586
32,208,7209
235,182,4922
34,210,10121
13,70,20425
30,205,5492
44,219,6995
96,4,2447
20,192,4824
211,215,7411
225,198,8873
38,36,4468
210,35,3147
195,22,7029
230,192,15572
45,30,3352
82,8,6349
138,1,4156
195,22,15386
33,41,6444
166,242,8316
159,245,10727
43,32,9630
37,37,4688
39,36,3592
202,223,14397
56,21,7842
29,46,7971
67,235,4975
1,134,4949
217,42,6466
202,223,12946
23,196,12794
54,23,8227
144,2,16703
56,21,17798
29,46,7067
174,239,13189
239,76,9895
212,214,4486
196,23,9102
10,173,2520
212,36,16857
188,18,4416
217,41,1726
72,237,5660
9,80,5104
61,18,2659
33,41,6696
218,208,21220
246,95,2943
237,70,4128
221,204,5500
193,21,21646
166,8,3516
246,94,2034
221,204,14938
145,2,4035
247,98,8157
81,9,4809
16,66,9397
226,53,3918
109,248,8402
102,3,2209
226,52,7591
206,30,14035
80,9,25879
222,203,16533
3,102,5302
82,242,2222
100,247,5541
64,233,2678
43,31,8621
79,241,4687
249,122,7008
37,212,15304
18,188,11347
13,179,6626
231,59,3775
228,56,8916
249,111,6577
35,39,11910
138,1,5165
61,19,7197
224,50,4856
240,78,16487
244,90,2465
161,6,4900
230,192,9269
44,219,7437
76,239,3666
157,5,4690
226,53,8540
174,239,2945
51,25,10804
44,31,3237
246,154,7152
240,173,6932
37,213,5142
171,9,21889
200,224,12005
204,29,3867
18,62,3063
241,80,3018
30,44,13273
176,238,1761
187,233,4143
215,211,7602
34,40,6774
50,26,3067
80,241,3483
44,219,1950
30,206,4851
188,18,2175
197,226,7441
2,145,1494
222,202,9716
208,33,10592
240,77,12390
173,240,8443
9,170,10048
40,215,5723
8,83,4989
9,170,3430
235,184,6151
216,210,7396
237,178,6126
20,191,4351
62,18,5422
5,91,4610
26,49,5602
20,58,6255
46,29,4669
199,225,4789
28,47,7762
201,223,10614
160,244,5233
40,34,8978
88,6,4587
228,55,5326
180,13,14693
219,206,8036
186,233,3309
195,227,6759
164,7,8116
51,225,3008
240,173,6029
40,216,7479
23,55,5199
102,247,2883
32,208,6056
7,85,2150
236,182,7200
54,23,7885
167,242,6106
161,6,2196
222,203,7586
243,165,12648
53,23,7833
56,21,5814
17,63,4774
237,70,8990
52,24,5690
14,182,4152
218,43,5673
30,45,11151
206,31,4212
31,43,6827
204,29,4815
218,208,9944
197,227,4363
210,35,4611
10,78,3121
66,234,2878
21,193,2014
170,9,3623
194,229,6397
246,155,7534
29,47,6318
229,57,15217
25,51,8453
242,168,6289
205,30,3971
228,194,6365
163,7,2974
187,17,1959
202,223,7307
233,64,6793
219,44,11855
199,25,6952
30,206,2664
35,211,4617
37,37,2605
16,66,11994
209,217,2153
29,46,5294
60,19,6189
68,15,14884
162,6,2225
193,21,1243
200,26,1864
11,75,7104
18,62,8791
202,223,6319
21,57,4884
215,39,7761
153,4,2048
185,234,7013
210,216,4279
232,188,4558
240,78,3037
19,60,5971
165,7,3342
220,205,5784
223,201,7565
26,200,1109
207,218,9670
205,220,9896
50,26,10304
58,20,4947
37,38,6216
55,228,3626
17,186,4567
202,223,7086
27,48,11011
183,15,6520
7,85,2924
152,3,3097
186,17,7808
78,240,7826
200,26,9106
45,30,17134
173,10,6448
42,33,2175
192,230,2884
57,229,3650
54,23,8266
31,44,2814
63,17,5900
154,246,8670
220,45,6046
158,5,6325
1,133,3117
8,166,7210
209,217,15714
30,205,9931
29,204,3514
40,215,19051
177,12,4288
66,15,4549
208,33,5586
237,72,5356
20,58,7205
43,32,11285
237,72,6475
216,40,8921
17,187,7217
21,194,5028
27,48,4138
1,124,2728
12,176,8190
71,13,10277
154,246,16681
1,118,9773
55,22,9511
199,225,12561
32,43,9761
209,217,2982
248,146,3185
13,178,6432
6,161,7051
57,21,4385
234,184,6570
239,75,16192
200,26,12379
232,62,5033
45,220,5122
95,4,5789
225,199,9117
227,197,5052
191,20,3537
71,237,5024
62,232,2247
54,227,6211
29,46,8296
215,40,8725
192,20,3851
15,66,5431
195,228,6753
208,33,2265
239,174,7927
89,6,11481
116,249,5865
217,41,4486
102,3,5508
162,244,5065
65,234,4779
62,18,10438
50,224,17287
40,34,4143
66,235,4612
55,227,3484
68,15,3237
35,39,6421
204,221,12922
226,197,14937
33,208,8006
48,222,5032
76,239,3689
78,10,3372
242,82,7861
235,68,5807
202,27,2324
25,51,4115
179,237,4716
138,249,5748
43,32,7486
93,5,3432
220,44,953
243,84,6159
9,80,5122
213,37,11361
49,224,4408
28,47,12417
237,179,2671
7,166,7058
9,171,3977
44,219,4916
172,240,10293
43,218,6370
65,234,4896
94,5,4275
55,228,5749
59,230,7938
227,196,5038
74,238,5606
74,238,4664
87,7,2948
30,45,7183
16,185,11849
224,200,16498
23,196,8683
104,248,12868
75,11,5297
240,78,2464
31,207,7362
12,73,2267
143,2,25258
49,223,4859
43,219,2734
224,50,1365
16,65,2376
208,217,10198
53,24,7149
22,55,6308
165,7,3799
67,15,2914
12,74,2698
249,133,5612
81,241,5004
46,221,3410
65,234,10413
8,166,4956
185,234,2635
184,16,2670
73,12,7015
50,224,5316
31,43,4226
35,210,6448
212,36,4546
173,240,3373
43,218,4471
48,28,12173
16,186,2772
239,74,9347
5,157,1889
21,56,9589
11,174,4521
222,203,2466
15,68,12244
205,220,3613
238,177,3532
38,214,14511
194,21,9410
18,189,6541
21,57,9177
40,216,5322
42,218,5449
30,45,2070
31,206,5888
59,20,2014
61,231,10648
35,211,7928
213,38,4533
205,30,2811
8,83,8850
206,30,3746
214,212,4917
205,30,4654
177,12,3204
190,19,2038
70,236,14020
97,4,5214
206,31,2075
17,64,16925
198,25,3376
224,200,11725
169,9,6294
35,211,7065
29,46,3111
244,89,8082
20,59,3070
236,180,9153
189,18,19197
213,38,3998
29,46,3375
8,167,7185
50,26,4835
166,7,3220
204,29,4599
236,70,16084
222,48,4271
94,5,2438
197,24,1799
51,225,2197
221,46,5003
16,185,17468
65,16,5130
214,212,8437
29,204,2554
182,235,4029
238,73,6701
221,46,3777
249,114,4227
24,198,24459
187,17,11420
238,74,1894
73,12,9349
236,70,6607
238,176,9473
195,23,7297
247,151,3739
14,69,10745
65,234,2957
212,37,6736
218,207,11708
53,23,6066
62,232,2997
85,7,7493
218,43,5073
140,1,3717
172,240,2469
3,150,2075
199,25,5788
6,160,3712
203,28,6338
192,230,9576
199,225,16682
24,198,4751
44,219,3451
46,29,3612
192,230,7882
8,167,5099
247,149,8901
28,203,10388
23,55,6968
210,216,2402
69,236,12703
60,231,6670
201,27,11919
215,39,6595
16,66,3016
49,26,5434
15,68,5892
185,234,9838
55,228,8306
22,56,12576
8,166,2957
203,28,4963
231,190,5123
8,84,2213
57,21,4022
93,5,1880
19,60,3563
25,51,4885
208,33,2270
61,19,10212
224,201,17441
188,232,8349
219,206,4171
222,203,7075
233,64,1785
19,190,3683
209,34,3001
33,209,7395
192,20,2360
12,72,9017
227,196,3579
207,31,3115
150,247,9723
